gp-common-timestamp,before,dirty_reboot_time
2024-03-09T04:49:00Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T04:49:00Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T04:49:00Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T04:54:00Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T04:54:00Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T04:54:00Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T04:58:59Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T04:58:59Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T04:58:59Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:04:01Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:04:01Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:04:01Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:09:00Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:09:00Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:09:00Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:13:59Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:13:59Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:13:59Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:18:59Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:19:00Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:19:00Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:24:00Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:24:00Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:24:00Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:29:00Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:29:00Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:29:00Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:34:00Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:34:00Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:34:00Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:38:59Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:38:59Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:38:59Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:43:59Z,"le write protect: Global WP GPIO is set, but not able to toggle component WP via HMC: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ",2024-03-09 05:47:30
2024-03-09T05:43:59Z,g function 3: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:43:59Z,redfish server: [CURL-EASY][COULDNT_CONNECT] Couldn't connect to server (7) ,2024-03-09 05:47:30
2024-03-09T05:50:40Z,"[2023-11-13T08:21:32+00:00]: The resource property NVSwitch_2 NVLink_17 has detected errors of type 'Training Error count is 20'.; Resolution: Restart Fabric Manager or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-09 05:47:30
