gp-common-timestamp,before,dirty_reboot_time
2024-03-27T11:34:00Z,"[2023-12-14T11:58:34+00:00]: The resource property GPU_SXM_3 NVLink_1 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:58:38+00:00]: The resource property GPU_SXM_3 NVLink_0 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:58:40+00:00]: The resource property GPU_SXM_2 NVLink_17 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:58:47+00:00]: The resource property GPU_SXM_2 NVLink_16 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:58:50+00:00]: The resource property GPU_SXM_2 NVLink_15 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:58:52+00:00]: The resource property GPU_SXM_2 NVLink_14 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:59:00+00:00]: The resource property GPU_SXM_2 NVLink_13 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:59:01+00:00]: The resource property GPU_SXM_2 NVLink_12 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:59:03+00:00]: The resource property GPU_SXM_2 NVLink_11 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:59:12+00:00]: The resource property GPU_SXM_2 NVLink_10 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
2024-03-27T11:34:00Z,"[2023-12-14T11:59:14+00:00]: The resource property GPU_SXM_2 NVLink_9 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-27 12:32:15
