gp-common-timestamp,before,dirty_reboot_time
2024-03-21T04:54:19Z,"[2024-02-16T17:13:33+00:00]: The resource property GPU_SXM_1 NVLink_8 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:13:39+00:00]: The resource property GPU_SXM_1 NVLink_7 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:13:42+00:00]: The resource property GPU_SXM_1 NVLink_6 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:13:46+00:00]: The resource property GPU_SXM_1 NVLink_5 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:13:51+00:00]: The resource property GPU_SXM_1 NVLink_4 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:13:53+00:00]: The resource property GPU_SXM_1 NVLink_3 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:13:58+00:00]: The resource property GPU_SXM_1 NVLink_2 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:14:02+00:00]: The resource property GPU_SXM_1 NVLink_1 has detected errors of type 'NVLink Training Error'.; Resolution: Reset the GPU or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:14:14+00:00]: The resource property NVSwitch_3 NVLink_31 has detected errors of type 'NVLink Training Error'.; Resolution: Restart Fabric Manager or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
2024-03-21T04:54:19Z,"[2024-02-16T17:14:21+00:00]: The resource property NVSwitch_3 NVLink_30 has detected errors of type 'NVLink Training Error'.; Resolution: Restart Fabric Manager or power cycle the BaseBoard. If problem persists, isolate the server for RMA evaluation., Resolved: true ",2024-03-21 05:53:06
